 HAT_out.csv    
 
  raw, data,
 0.0000,     0.36,
 0.0010,     0.36,
 0.0020,     0.36,
 0.0030,     0.36,
 0.0040,     0.36,
 0.0050,     0.36,
 0.0060,     0.36,
 0.0070,     0.36,
 0.0080,     0.36,
 0.0090,     0.36,
 0.0100,     0.36,
 0.0110,     0.36,
 0.0120,     0.36,
 0.0130,     0.36,
 0.0140,     0.36,
 0.0150,     0.36,
 0.0160,     0.36,
 0.0170,     0.36,
 0.0180,     0.36,
 0.0190,     0.36,
 0.0200,     0.36,
 0.0210,     0.36,
 0.0220,     0.36,
 0.0230,     0.36,
 0.0240,     0.36,
 0.0250,     0.36,
 0.0260,     0.36,
 0.0270,     0.36,
 0.0280,     0.36,
 0.0290,     0.36,
 0.0300,     0.37,
 0.0310,     0.37,
 0.0320,     0.37,
 0.0330,     0.37,
 0.0340,     0.37,
 0.0350,     0.37,
 0.0360,     0.37,
 0.0370,     0.37,
 0.0380,     0.37,
 0.0390,     0.37,
 0.0400,     0.37,
 0.0410,     0.37,
 0.0420,     0.37,
 0.0430,     0.37,
 0.0440,     0.37,
 0.0450,     0.37,
 0.0460,     0.37,
 0.0470,     0.37,
 0.0480,     0.37,
 0.0490,     0.37,
 0.0500,     0.37,
 0.0510,     0.37,
 0.0520,     0.37,
 0.0530,     0.38,
 0.0540,     0.38,
 0.0550,     0.38,
 0.0560,     0.38,
 0.0570,     0.38,
 0.0580,     0.38,
 0.0590,     0.38,
 0.0600,     0.38,
 0.0610,     0.38,
 0.0620,     0.38,
 0.0630,     0.38,
 0.0640,     0.38,
 0.0650,     0.38,
 0.0660,     0.38,
 0.0670,     0.38,
 0.0680,     0.38,
 0.0690,     0.38,
 0.0700,     0.38,
 0.0710,     0.38,
 0.0720,     0.38,
 0.0730,     0.38,
 0.0740,     0.38,
 0.0750,     0.38,
 0.0760,     0.38,
 0.0770,     0.38,
 0.0780,     0.39,
 0.0790,     0.39,
 0.0800,     0.39,
 0.0810,     0.39,
 0.0820,     0.39,
 0.0830,     0.39,
 0.0840,     0.39,
 0.0850,     0.39,
 0.0860,     0.39,
 0.0870,     0.39,
 0.0880,     0.39,
 0.0890,     0.39,
 0.0900,     0.39,
 0.0910,     0.39,
 0.0920,     0.39,
 0.0930,     0.39,
 0.0940,     0.39,
 0.0950,     0.39,
 0.0960,     0.39,
 0.0970,     0.39,
 0.0980,     0.39,
 0.0990,     0.39,
 0.1000,     0.39,
 0.1010,     0.39,
 0.1020,     0.39,
 0.1030,     0.40,
 0.1040,     0.40,
 0.1050,     0.40,
 0.1060,     0.40,
 0.1070,     0.40,
 0.1080,     0.40,
 0.1090,     0.40,
 0.1100,     0.40,
 0.1110,     0.40,
 0.1120,     0.40,
 0.1130,     0.40,
 0.1140,     0.40,
 0.1150,     0.40,
 0.1160,     0.40,
 0.1170,     0.40,
 0.1180,     0.40,
 0.1190,     0.40,
 0.1200,     0.40,
 0.1210,     0.40,
 0.1220,     0.40,
 0.1230,     0.40,
 0.1240,     0.40,
 0.1250,     0.40,
 0.1260,     0.40,
 0.1270,     0.40,
 0.1280,     0.40,
 0.1290,     0.40,
 0.1300,     0.40,
 0.1310,     0.40,
 0.1320,     0.40,
 0.1330,     0.40,
 0.1340,     0.40,
 0.1350,     0.40,
 0.1360,     0.40,
 0.1370,     0.40,
 0.1380,     0.40,
 0.1390,     0.40,
 0.1400,     0.40,
 0.1410,     0.40,
 0.1420,     0.40,
 0.1430,     0.40,
 0.1440,     0.40,
 0.1450,     0.40,
 0.1460,     0.40,
 0.1470,     0.40,
 0.1480,     0.40,
 0.1490,     0.40,
 0.1500,     0.40,
 0.1510,     0.40,
 0.1520,     0.40,
 0.1530,     0.40,
 0.1540,     0.40,
 0.1550,     0.40,
 0.1560,     0.40,
 0.1570,     0.40,
 0.1580,     0.40,
 0.1590,     0.40,
 0.1600,     0.40,
 0.1610,     0.40,
 0.1620,     0.40,
 0.1630,     0.40,
 0.1640,     0.40,
 0.1650,     0.40,
 0.1660,     0.40,
 0.1670,     0.40,
 0.1680,     0.40,
 0.1690,     0.40,
 0.1700,     0.40,
 0.1710,     0.40,
 0.1720,     0.40,
 0.1730,     0.40,
 0.1740,     0.40,
 0.1750,     0.40,
 0.1760,     0.40,
 0.1770,     0.40,
 0.1780,     0.40,
 0.1790,     0.40,
 0.1800,     0.40,
 0.1810,     0.40,
 0.1820,     0.40,
 0.1830,     0.40,
 0.1840,     0.40,
 0.1850,     0.40,
 0.1860,     0.40,
 0.1870,     0.40,
 0.1880,     0.40,
 0.1890,     0.40,
 0.1900,     0.40,
 0.1910,     0.40,
 0.1920,     0.40,
 0.1930,     0.40,
 0.1940,     0.40,
 0.1950,     0.40,
 0.1960,     0.40,
 0.1970,     0.40,
 0.1980,     0.40,
 0.1990,     0.40,
 0.2000,     0.40,
 0.2010,     0.40,
 0.2020,     0.39,
 0.2030,     0.39,
 0.2040,     0.39,
 0.2050,     0.39,
 0.2060,     0.39,
 0.2070,     0.39,
 0.2080,     0.39,
 0.2090,     0.39,
 0.2100,     0.39,
 0.2110,     0.39,
 0.2120,     0.39,
 0.2130,     0.39,
 0.2140,     0.39,
 0.2150,     0.39,
 0.2160,     0.39,
 0.2170,     0.39,
 0.2180,     0.39,
 0.2190,     0.39,
 0.2200,     0.39,
 0.2210,     0.39,
 0.2220,     0.39,
 0.2230,     0.39,
 0.2240,     0.39,
 0.2250,     0.39,
 0.2260,     0.39,
 0.2270,     0.39,
 0.2280,     0.39,
 0.2290,     0.39,
 0.2300,     0.39,
 0.2310,     0.39,
 0.2320,     0.39,
 0.2330,     0.38,
 0.2340,     0.38,
 0.2350,     0.38,
 0.2360,     0.38,
 0.2370,     0.38,
 0.2380,     0.38,
 0.2390,     0.38,
 0.2400,     0.38,
 0.2410,     0.38,
 0.2420,     0.38,
 0.2430,     0.38,
 0.2440,     0.38,
 0.2450,     0.38,
 0.2460,     0.38,
 0.2470,     0.38,
 0.2480,     0.38,
 0.2490,     0.38,
 0.2500,     0.38,
 0.2510,     0.38,
 0.2520,     0.38,
 0.2530,     0.38,
 0.2540,     0.38,
 0.2550,     0.38,
 0.2560,     0.38,
 0.2570,     0.38,
 0.2580,     0.38,
 0.2590,     0.38,
 0.2600,     0.38,
 0.2610,     0.38,
 0.2620,     0.38,
 0.2630,     0.38,
 0.2640,     0.38,
 0.2650,     0.38,
 0.2660,     0.38,
 0.2670,     0.38,
 0.2680,     0.38,
 0.2690,     0.38,
 0.2700,     0.38,
 0.2710,     0.38,
 0.2720,     0.38,
 0.2730,     0.38,
 0.2740,     0.38,
 0.2750,     0.38,
 0.2760,     0.38,
 0.2770,     0.38,
 0.2780,     0.38,
 0.2790,     0.38,
 0.2800,     0.38,
 0.2810,     0.38,
 0.2820,     0.38,
 0.2830,     0.38,
 0.2840,     0.38,
 0.2850,     0.38,
 0.2860,     0.38,
 0.2870,     0.38,
 0.2880,     0.38,
 0.2890,     0.38,
 0.2900,     0.38,
 0.2910,     0.38,
 0.2920,     0.38,
 0.2930,     0.38,
 0.2940,     0.38,
 0.2950,     0.38,
 0.2960,     0.38,
 0.2970,     0.38,
 0.2980,     0.38,
 0.2990,     0.38,
 0.3000,     0.38,
